US_bath,compressed_air,degreasing,dry_tissue,plasma,plasma_distance,plasma_passes,plasma_power,plasma_speed,posttreatment,pretreatment,roughening,scenario,loss,failureMode,cost,Feasibility,FinalcontactAngle,c1,seed
0,1,0,0,1,5.80919286693538,18,462.39168139310505,235.82074554627803,0,1,0,3,7.915558876582636,adhesive failure,2.1619511184717064,1.0,14.424840180555272,1.0,573887
0,1,0,0,1,5.977815432621934,6,474.0718077165824,117.73016225755909,0,1,0,3,7.92789972754604,adhesive failure,2.1540504183966105,1.0,13.992689463492688,1.0,627050
0,1,0,0,1,6.037453482894654,4,466.9761026983001,66.11991164988216,0,1,0,3,7.929630978208813,adhesive failure,2.1570193458448745,1.0,13.931629315337448,1.0,422658
0,1,0,0,1,5.847682482900358,11,449.1352095564746,185.77039314656872,0,1,0,3,7.91759637625102,adhesive failure,2.156618118173342,1.0,14.35386265106883,1.0,210961
0,1,0,0,1,5.97749072536913,11,453.1173946960229,233.4923931076064,0,1,0,3,7.910783522916054,adhesive failure,2.152848652711814,1.0,14.590624967254112,1.0,584670
0,1,0,0,1,6.078526033304606,6,482.2027816172514,113.65166608240024,0,1,0,3,7.924751537658178,adhesive failure,2.15462076382037,1.0,14.103447563346801,1.0,110291
0,1,0,0,1,5.8042719193369,13,473.6841012517394,229.99036850713372,0,1,0,3,7.931239034255944,adhesive failure,2.155782512294425,1.0,13.874816942046918,1.0,308633
0,1,0,0,1,5.99738478403319,26,449.10415745990423,247.80017900571957,0,1,0,3,7.8520314014223755,adhesive failure,2.170856554462537,1.0,16.568526152589858,1.0,917824
0,1,0,0,1,5.807505278124797,28,380.2293170127822,248.70093837210422,0,1,0,3,7.7021127856908524,adhesive failure,2.1732323688081054,1.0,21.174041231618677,1.0,24349
0,1,0,0,1,5.962700068217005,15,405.54057494492343,197.63007629744902,0,1,0,3,7.825774452949617,adhesive failure,2.161811243094535,1.0,17.418043663996922,1.0,280941
0,1,0,0,1,5.814463606342893,13,471.62597663593215,239.32258857083303,0,1,0,3,7.930849367488055,adhesive failure,2.1550957152477848,1.0,13.888592426326113,1.0,53087
0,1,0,0,1,5.977970276061485,12,471.78751090281924,119.74755074286823,0,1,0,3,7.865046300927513,adhesive failure,2.169391824312507,1.0,16.139839896815246,1.0,150744
0,1,0,0,1,6.003625264785247,8,470.2987648230103,137.1031183054774,0,1,0,3,7.930587346830569,adhesive failure,2.15635112767065,1.0,13.89785226855755,1.0,338457
0,1,0,0,1,5.940405085175992,9,454.23436991663846,139.74651324543248,0,1,0,3,7.921564239697984,adhesive failure,2.1582350470662535,1.0,14.215220347400647,1.0,565494
0,1,0,0,1,6.08191854050932,9,433.75165451928785,176.31008927375794,0,1,0,3,7.885962829204985,adhesive failure,2.154073237831742,1.0,15.439829539821348,1.0,932068
0,1,0,0,1,6.37013523636253,5,390.0116500206292,70.67188892143812,0,1,0,3,7.7774986831476705,adhesive failure,2.1602058764534533,1.0,18.929839246614055,1.0,708247
0,1,0,0,1,6.591040653791394,5,464.1745809182242,74.3996295134253,0,1,0,3,7.921243562333298,adhesive failure,2.1591088945339205,1.0,14.22644591285855,1.0,343925
0,1,0,0,1,5.7961337591376685,18,461.0585123137151,244.57067266208807,0,1,0,3,7.918728813206068,adhesive failure,2.161100306691388,1.0,14.314350494275425,1.0,718886
0,1,0,0,1,5.957625300139451,7,473.09006077877797,122.25471758408233,0,1,0,3,7.930694162992907,adhesive failure,2.15601093809856,1.0,13.894077673262647,1.0,835557
0,1,0,0,1,5.857830991216018,10,467.07516934557464,166.5805108467586,0,1,0,3,7.930616340867344,adhesive failure,2.156874462256221,1.0,13.896827738400534,1.0,688620
0,1,0,0,1,5.847380423349659,11,408.8701346435189,167.26224872524543,0,1,0,3,7.838614915957546,adhesive failure,2.158655373766077,1.0,17.00511397177448,1.0,156929
0,1,0,0,1,5.87794926024351,9,470.5575501200527,150.69468788957155,0,1,0,3,7.930983714641768,adhesive failure,2.1567789201379304,1.0,13.883843614313802,1.0,283333
0,1,0,0,1,5.9770717754295495,6,449.900255733905,94.65857058781066,0,1,0,3,7.917496846497905,adhesive failure,2.157917988775548,1.0,14.35733321347519,1.0,193254
0,1,0,0,1,6.48832102905594,22,464.47219673040587,248.30966370371357,0,1,0,3,7.890497411440331,adhesive failure,2.165773578906653,1.0,15.28621775254159,1.0,439122
0,1,0,0,1,5.941747313825038,10,403.53074355939856,170.63882685606643,0,1,0,3,7.81960830500636,adhesive failure,2.1564245296064497,1.0,17.614670967099528,1.0,590967
0,1,0,0,1,5.816499092876355,13,469.79367630581646,210.0401526290859,0,1,0,3,7.930531519410248,adhesive failure,2.1574547090149085,1.0,13.89982489431227,1.0,747656
0,1,0,0,1,5.8804283297341025,20,387.7193422364899,247.3618700627018,0,1,0,3,7.768395431718769,adhesive failure,2.1633520220376043,1.0,19.208075520582668,1.0,834320
0,1,0,0,1,5.818445002940271,13,470.48133137549087,221.57959058850165,0,1,0,3,7.931411863707428,adhesive failure,2.15645064963706,1.0,13.86870531492171,1.0,283754
0,1,0,0,1,5.9440093865733585,7,450.443851282313,119.35066257973628,0,1,0,3,7.918596074274206,adhesive failure,2.1564431101177943,1.0,14.318984259306943,1.0,73640
0,1,0,0,1,5.90898268365661,7,450.6307932706345,109.61829081275906,0,1,0,3,7.91845127895061,adhesive failure,2.158065157535531,1.0,14.324038191359083,1.0,953853
